year,month,revenue
CIBC-2019,1,-4.17
CIBC-2019,2,-6.81
CIBC-2019,3,-8.59
CIBC-2019,4,-12.16
CIBC-2019,5,null
CIBC-2019,6,null
CIBC-2019,7,null
CIBC-2019,8,null
CIBC-2019,9,null
CIBC-2019,10,null
CIBC-2019,11,null
CIBC-2019,12,null
CIBC-2018,1,12.76
CIBC-2018,2,13.70
CIBC-2018,3,12.87
CIBC-2018,4,7.92
CIBC-2018,5,9.64
CIBC-2018,6,12.89
CIBC-2018,7,11.73
CIBC-2018,8,12.63
CIBC-2018,9,13.24
CIBC-2018,10,11.09
CIBC-2018,11,9.55
CIBC-2018,12,7.12
INTRIA-2019,1,61.55
INTRIA-2019,2,56.88
INTRIA-2019,3,51.54
INTRIA-2019,4,52.47
INTRIA-2019,5,null
INTRIA-2019,6,null
INTRIA-2019,7,null
INTRIA-2019,8,null
INTRIA-2019,9,null
INTRIA-2019,10,null
INTRIA-2019,11,null
INTRIA-2019,12,null
INTRIA-2018,1,1.59
INTRIA-2018,2,-32.16
INTRIA-2018,3,63.96
INTRIA-2018,4,63.14
INTRIA-2018,5,61.52
INTRIA-2018,6,60.91
INTRIA-2018,7,57.92
INTRIA-2018,8,56.79
INTRIA-2018,9,61.75
INTRIA-2018,10,57.12
INTRIA-2018,11,57.48
INTRIA-2018,12,58.00
INTRIA-2017,1,-46.14
INTRIA-2017,2,-36.79
INTRIA-2017,3,-30.06
INTRIA-2017,4,-32.00
INTRIA-2017,5,-36.26
INTRIA-2017,6,-34.42
INTRIA-2017,7,-33.10
INTRIA-2017,8,-28.92
INTRIA-2017,9,-23.46
INTRIA-2017,10,-19.37
INTRIA-2017,11,-17.73
INTRIA-2017,12,-14.55
